sample_index,id,rule,repo,file,lineno,label,rationale
29,5b136f1c21affac5,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/metrics/agentic/hallucination_detection/hallucination_detection.py,48,DEFECT,"Bare except sets `self.system_prompt = """"`. A model lacking `get_system_prompt()` silently scores every case under empty criteria; no comment, no log, caller cannot distinguish."
30,f41ba979c5d02fa1,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/metrics/agentic/temporal_assessment/temporal_assessment.py,48,DEFECT,"Same copy-paste family as #29: silent criteria degradation via `system_prompt = """"`."
31,df981847e6d6ee0f,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/metrics/cross_context_retrieval/cross_context_retrieval.py,279,DEFECT,"Guarded statement `self.score == 1` is a comparison expression that cannot raise, so the handler is dead code and `self.success` is never assigned on the success path. `is_successful()` returns a stale/absent value."
32,4d131750fb08b630,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/metrics/external_system_abuse/external_system_abuse.py,276,DEFECT,"Dead-comparison family (`self.score == 1` under bare except), same as #31; `success` never set on the success path."
33,378204a4446a9472,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/metrics/hijacking/hijacking.py,225,DEFECT,"Dead-comparison family, same shape as #31/#32 in a different metric class."
34,b9ebcb3853e710a7,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/metrics/imitation/imitation.py,46,DEFECT,"Silent criteria degradation family: `system_prompt = """"` on any exception in the constructor."
35,752ed8e00b36774c,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/metrics/rbac/rbac.py,47,DEFECT,"Silent criteria degradation family, same shape as #29/#34."
36,1cfef9f0dc040b98,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/metrics/rbac/rbac.py,282,DEFECT,Dead-comparison family in `is_successful()`; the intended assignment never happens.
37,fcd56382aab857a3,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/metrics/shell_injection/shell_injection.py,232,DEFECT,Dead-comparison family in `is_successful()`.
38,7cf934b5655ec4b3,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/vulnerabilities/hallucination/hallucination.py,376,DEFECT,`is_vulnerable()` returns `vulnerable = False` after any error while iterating results: an infrastructure failure becomes a clean security verdict in a red-teaming tool (fail-open on a security predicate).
39,e06c8e8ece99ea10,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/vulnerabilities/misinformation/misinformation.py,381,DEFECT,"Fail-open security verdict family, same shape as #38."
40,274edef6edd3b7fb,silent-fallback,deepteam,paper/corpus/deepteam-1.0.9/deepteam/vulnerabilities/ssrf/ssrf.py,375,DEFECT,"Fail-open security verdict family, same shape as #38/#39."
41,4637f78932992ec5,silent-fallback,fickling,paper/corpus/fickling-0.1.12/fickling/polyglot.py,334,CONTRACT,Format-detection predicate returning a declared `bool`; failure to parse as legacy format legitimately means 'no'.
42,53d191055d3c3e59,silent-fallback,garak,paper/corpus/garak-0.16.0/garak/analyze/rebuild_cis.py,160,CONTRACT,CLI entry point: prints a human-readable error and returns exit code 1 - the failure is signalled twice.
43,b9a6103c4ae59adb,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_cli/ctl/_sample_read.py,820,CONTRACT,Predicate `_looks_like_timestamp -> bool`; a value that does not parse is exactly the False case.
44,fab0b446b0c84c43,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_control/discovery.py,88,CONTRACT,"Local server discovery, defaulting a malformed metadata field to 0 with a sibling default for `started_at`."
45,b65c3fa653adcf77,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_display/textual/app.py,457,CONTRACT,Textual lookup returning the declared `InputPanel | None`.
46,59c9a6bd01281be5,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_eval/evalset.py,900,CONTRACT,Timestamp normalisation for an optional `completed_at` field; parse failure legitimately means unknown.
47,4f7a135288cf5ca7,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_lfs/_pointer.py,43,CONTRACT,Docstring states 'Returns ... None if the file is not a valid LFS pointer'.
48,36d314cdd97f094a,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_util/file.py,290,CONTRACT,"Comment 'azure may throw other error types, treat those as non-writeable' - deliberately fail-closed for a write probe."
49,6ce083994e564f95,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_util/local_server.py,441,CONTRACT,`get_machine_ip() -> str | None`; a failed UDP-connect probe legitimately means unknown.
50,bd8a8f02b72226fd,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_util/module.py,41,CONTRACT,Optional notebook loader import; declared return is `ModuleType | None`.
51,653d2ab589da0349,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_util/platform.py,15,CONTRACT,`running_in_notebook() -> bool` - ImportError is the documented 'not a notebook' answer.
52,d8fe82b72028d85a,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/inspect_ext.py,777,CONTRACT,Comment 'fail open - better to skip the barrier than to hang teardown' on an async drain barrier.
53,c60bb2a9fb0a82d1,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/app.py,164,CONTRACT,Docstring: 'Returns the empty list on any failure rather than raising - the picker uses this for periodic rescan'.
54,48d409c1086e2895,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/app.py,175,CONTRACT,Prints the exception to stderr before returning []; the failure is signalled.
55,8a0911c8825ddab4,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/app.py,273,CONTRACT,"Calls `self.notify(..., severity=""error"")` - an explicit user-visible error signal - then returns."
56,5016142a2dde96df,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/picker_screen.py,714,CONTRACT,Textual widget lookup in a status refresh; absence means nothing to update.
57,23d28764a9917359,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/session_screen.py,427,CONTRACT,Accessor named `_approval_card_or_none` with return type `_ApprovalCard | None` - the None is the contract.
58,e45fb6aa16d94fc9,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/session_screen.py,1224,CONTRACT,Comment explains that probing the DOM 'keeps the gate honest'; False is the intended answer when the button is absent.
59,0203066aa1b2dd49,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/widgets/event_chip.py,325,CONTRACT,Textual lookup in a click handler; NoMatches means nothing mounted to update.
60,8d6d39f9a7ac9180,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/widgets/event_chip.py,330,CONTRACT,Same widget-lookup pattern a few lines below #59.
61,fb7fef82436976cd,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/widgets/tool_call.py,350,CONTRACT,`.body` lookup in a state-update path; not mounted means nothing to rebuild.
62,8e615751e947f199,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/widgets/tool_call.py,422,CONTRACT,`#approval-area` lookup; absence means the area is not rendered.
63,301381d972e04cf6,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/log/_recorders/buffer/filestore.py,615,CONTRACT,Comment 'bail if there is no buffer_dir'; FileNotFoundError is the normal 'nothing to clean' case.
64,52c795873deec272,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/log/_recover/_api.py,279,CONTRACT,"Recovery-summary display fields default to 0 when a crashed log cannot be read; the counts feed a listing, not the recovery operation itself. Borderline - see disagreement notes."
65,59e0595e58860350,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/log/_recover/_buffer.py,83,CONTRACT,Docstring 'Try reading recovery data'; declared return is `BufferRecoveryData | None`.
66,78cafe91bf285c6b,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/model/_model_output.py,162,CONTRACT,"`warn_once(...)` emits a log line, and the declared return is `StopDetails | None`."
67,b164ad48da3fe8f4,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/model/_reasoning.py,193,CONTRACT,Helper named `_parse_internal_attr -> JsonValue | None`; a malformed attribute legitimately yields None.
68,c77c966bf2d27289,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/tool/_sandbox_tools_utils/validate_distros.py,97,CONTRACT,Test harness: prints a colored FAILED line and returns False - signalled and declared bool.
69,104555b6ca933aa2,silent-fallback,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/_cli/__init__.py,122,CONTRACT,`load_agent(...) -> Agent | None`; ValidationError is one of the documented 'not loadable' answers.
70,148cc646d9b62a48,silent-fallback,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/_ssrf.py,279,CONTRACT,"Fails CLOSED with an explicit comment 'Invalid IP address, treat as potentially dangerous' - the positive example for this paper."
71,fb30995cd6efc0b4,silent-fallback,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/_utils.py,871,CONTRACT,"Narrow `(TypeError, AttributeError)` catch; the sibling `NameError` case deliberately raises a UserError instead, so the author distinguished the two."
72,f307bf8d75cf81d0,silent-fallback,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/realtime/_session.py,2336,CONTRACT,"Comment states the exception is queued 'so the consumer re-raises it, instead of letting it vanish' - an intentional routing design."
73,864b4357c22eb662,silent-fallback,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/result.py,466,CONTRACT,`except StopAsyncIteration: return` is the canonical way to end an async generator.
74,cbe21ff456241abb,silent-fallback,smolagents,paper/corpus/smolagents-1.26.0/src/smolagents/local_python_executor.py,1649,CONTRACT,`FinalAnswerException` is the agent's own control-flow signal; converting it to a return value is the documented mechanism.
75,61dd0c7730224b94,silent-fallback,trl,paper/corpus/trl-1.12.0/trl/chat_template_utils.py,933,CONTRACT,Predicate `is_chat_template_stop_token_trained -> bool`; an unsupported template legitimately answers False.
76,472df81ad0168aa7,silent-fallback,trl,paper/corpus/trl-1.12.0/trl/experimental/openreward/environment.py,287,CONTRACT,`step_reward: float | None` - None is a legal 'no reward this step' value in the rewards list.
77,93bce44f020cd98a,silent-fallback,uqlm,paper/corpus/uqlm-0.6.5/uqlm/utils/llm_config.py,26,CONTRACT,Predicate `_is_serializable -> bool` implemented exactly as a json.dumps probe.
78,f7641388fd2c3c94,silent-suppress,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/util/_subprocess.py,188,CONTRACT,"`contextlib.suppress(Exception)` over stream `aclose()` inside a shielded teardown scope, with a long comment justifying it."
79,6ecc2f9afcd7c5bb,silent-suppress,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/_sync_stream.py,100,CONTRACT,"Suppress around best-effort waiter/task cleanup, then `raise` re-propagates the interrupting exception."
80,7f88c9c2a489cc85,silent-suppress,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/models/fallback.py,478,CONTRACT,`suppress(Exception)` around OpenTelemetry span attribute setting - instrumentation cannot affect the run outcome.
