add_index,rule,repo,file,lineno,label,rationale,function_signature,detector_severity,detector_isomorphism,detector_covered_by_static,new_in_v2_frame,provenance
14,silent-fallback,garak,paper/corpus/garak-0.16.0/garak/probes/fileformats.py,101,CONTRACT,"Non-Hub model name: logging.info states 'Skipping Hugging Face file probe for non-Hub model name' and names it, then returns []. Sibling of :96 in the same try; both are declared capability boundaries.","def probe(self, generator) -> Iterable[garak.attempt.Attempt]",low,unknown,,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
15,silent-fallback,garak,paper/corpus/garak-0.16.0/garak/probes/goat.py,287,CONTRACT,"HF dataset of attack goals cannot be loaded: logging.warning names the dataset and the error, then returns [], matching the identical early return at line 274.",def _load_hf_dataset_goals(self) -> List[str],medium,non-isomorphic,pylint:W0718|ruff:BLE001,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
16,silent-fallback,garak,paper/corpus/garak-0.16.0/garak/probes/suffix.py,141,CONTRACT,"GCG generation failure: logging.exception plus a printed message, gcg_output = None consumed by `if gcg_output:` at line 146. Line 126 already returns list() for an incompatible generator, so an empty result is in-contract.","def probe(self, generator) -> List[garak.attempt.Attempt]",medium,non-isomorphic,pylint:W0718|ruff:BLE001,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
17,silent-fallback,garak,paper/corpus/garak-0.16.0/garak/probes/suffix.py,214,CONTRACT,"BEAST generation failure: same shape as :141 - logging.error, printed message, beast_output = None guarded at line 219.","def probe(self, generator) -> List[garak.attempt.Attempt]",medium,non-isomorphic,pylint:W0718|ruff:BLE001,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
18,silent-fallback,garak,paper/corpus/garak-0.16.0/garak/probes/tap.py,192,CONTRACT,"TAP generation failure: logging.error, printed message, tap_outputs = None guarded at line 197.","def probe(self, generator) -> List[garak.attempt.Attempt]",medium,non-isomorphic,pylint:W0718|ruff:BLE001,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
19,silent-fallback,garak,paper/corpus/garak-0.16.0/garak/probes/tap.py,329,CONTRACT,"PAIR generation failure: logging.error, printed message, pair_outputs = None guarded at line 334.","def probe(self, generator) -> List[garak.attempt.Attempt]",medium,non-isomorphic,pylint:W0718|ruff:BLE001,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
20,silent-fallback,garak,paper/corpus/garak-0.16.0/garak/resources/autodan/genetic.py,318,CONTRACT,"Retry loop (`while not received`): the handler logs the error, then discriminates on sys.exc_info()[0] - returning None only for openai.APIError/OpenAIError (a genuine dead end, announced by print), printing on AssertionError, and otherwise sleeping 1s and retrying. Structured retry logic, not a substituted value.",def gpt_mutate(mutation_generator,medium,non-isomorphic,pylint:W0718|ruff:BLE001,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
21,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_control/config_record.py,109,CONTRACT,"_record_to -> bool | None whose docstring (lines 104-106) states the three-valued contract explicitly: True when recorded, None when there is no recording target ('not a failure'), False when recording failed. The handler logs a warning naming the log location and the exception, then returns the value the docstring reserves for exactly this case. Textbook contract.",async def _record_to(live,medium,non-isomorphic,pylint:W0718|ruff:BLE001,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
22,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_control/events.py,366,CONTRACT,"Five-line comment explains the race ('the history store was torn down between provider resolution and this first read - degrade to the recorder's (event-less) sample rather than failing the request') and why it still logs ('outside that race this can also indicate a genuinely corrupt store'); then logging.warning with the exception and total = 0. Deliberate, documented, legible.",async def _resolve_logged_source(eval_id,low,unknown,,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
23,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_control/events.py,395,CONTRACT,"fetch_buffered: same documented race as :366, logging.warning with eval/sample/epoch and the exception, returns [] for 'no buffered events'. The enclosing EventsSource at 406-408 is built from the guarded read.",def fetch_buffered(start,low,unknown,,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
24,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_eval/loader.py,600,CONTRACT,"code_has_decorator -> bool parses the code with ast and searches decorator_list; `except SyntaxError: pass` falls through to `return False` at line 603. Code that does not parse has no decorators, so False is the answer to the question asked rather than a substitute for one.",def code_has_decorator(code,high,non-isomorphic,bandit:B110|ruff:S110,no,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
25,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_eval/run.py,837,CONTRACT,"`except anyio.get_cancelled_exc_class(): pass` - idiomatic cancellation absorption during bounded-concurrency task teardown, inside a try whose sibling ExceptionGroup handler re-raises (lines 832-836) and whose finally removes the dispatch waker and clears the task screen. The preceding comment states the policy ('exceptions can escape when debug_errors is True and that's okay'). Note for the paper: the detector's IGNORED_EXC_NAMES matches CancelledError by NAME, so a cancellation class obtained from a call expression is not recognised - a real, documentable limitation rather than a labelling dispute.",async def run_task_retry_attempts(tasks,high,non-isomorphic,bandit:B110|ruff:S110,no,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
26,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_eval/task/run.py,2878,CONTRACT,"prior_exists_in_file -> bool. The handler increments probe_failures, warns once the count reaches PRIOR_PROBE_MAX_FAILURES with a message stating the consequence ('reused sample reads will not be throttled for this retry'), and returns False; the sibling FileNotFoundError handler at 2876 returns an empty set for the same 'no prior log' meaning. Documented throttling degradation.",async def prior_exists_in_file(id,medium,non-isomorphic,pylint:W0718|ruff:BLE001,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
27,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_util/decorator.py,43,CONTRACT,"parse_decorators -> list[...]: `except SyntaxError: pass` then `return decorators` (possibly empty) at line 46. Code that does not parse yields no decorators, which is the correct answer, not a substituted one.",def parse_decorators(path,high,non-isomorphic,bandit:B110|ruff:S110,no,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
28,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_view/scout_routes.py,21,CONTRACT,"get_scout_search_router -> 'APIRouter | None'. Optional-dependency probe: the ImportError sibling at line 19 returns None silently, and this handler logs a warning naming the router and the exception before returning the same None that the annotation reserves for 'unavailable'.",def get_scout_search_router() -> 'APIRouter | None',medium,non-isomorphic,pylint:W0718|ruff:BLE001,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
29,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/event_mapping.py,378,CONTRACT,"The docstring at line 374 states the contract - '``[]`` for that event, keeping the surrounding replay alive' - and the handler logs a warning with exc_info=True before returning []. Deliberate, documented, legible.","def process(self, event",medium,non-isomorphic,pylint:W0718|ruff:BLE001,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
30,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/event_mapping.py,400,CONTRACT,"Same docstring contract as :378 for the mapping step; logging.warning with exc_info=True, then []. An ACP replay that dies on one malformed event would lose the whole transcript.","def process(self, event",medium,non-isomorphic,pylint:W0718|ruff:BLE001,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
31,silent-suppress,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/stdio.py,118,CONTRACT,"`with contextlib.suppress(Exception): writer.close()` inside a finally, with the comment 'Closing our writer gives the other forwarder's reader an EOF.' Best-effort teardown of a stream forwarder whose peer-closed case is already logged at line 113.",async def _forward_lines(reader,high,,,no,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
32,silent-suppress,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/stdio.py,180,CONTRACT,"`with contextlib.suppress(Exception): writer.close(); await writer.wait_closed()` in a finally, after the function has already raised TripleResolutionError with a message listing the available sessions (lines 175-178). The real failure is surfaced; only the close is suppressed.",async def preflight_resolve_triple(target,high,,,no,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
33,silent-suppress,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/stdio.py,265,CONTRACT,"Same shape as :118 in the rewrite variant of the forwarder: suppress around writer.close() in a finally, peer-closed already logged at 261.",async def _forward_lines_with_rewrite(reader,high,,,no,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
34,silent-suppress,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/stdio.py,328,CONTRACT,"`with contextlib.suppress(anyio.get_cancelled_exc_class(), Exception): await task` while draining cancelled pending tasks. The following lines 330-336 explicitly surface a real exception from whichever forwarder finished first ('Surface a real exception (not CancelledError) ... tests rely on this to assert clean exit vs error'), so suppression here is confined to the cancellation drain.",async def bridge_stdio(in_stream,high,,,no,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
35,silent-suppress,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/stdio.py,338,CONTRACT,"finally-block suppress around sock_writer.close()/wait_closed(), after the function has re-raised any real forwarder exception at line 336.",async def bridge_stdio(in_stream,high,,,no,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
36,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/log/_file.py,236,CONTRACT,"_list_eval_logs_async -> list[EvalLogInfo]. The handler discriminates explicitly: comment at 237-238 'a missing bucket is an empty listing (as with the existence precheck the other branches perform), not an error', returns [] only for NoSuchBucket/404/NotFound and RE-RAISES for every other ClientError code (line 245). An empty listing for a nonexistent bucket is the correct answer and all genuine errors propagate.",async def _list_eval_logs_async(log_dir,medium,unknown,,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
37,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/model/_cache.py,270,CONTRACT,"cache_clear -> bool logs the error with logger.error naming the exception, then returns False. Weak contract worth recording: line 269 already returns False for 'nothing to clear', so False is overloaded across 'cleared nothing' and 'clearing failed'; labelled CONTRACT because the failure is logged and the function's own success value is True, so a caller that needs the distinction has one.",def cache_clear(model,medium,non-isomorphic,pylint:W0718|ruff:BLE001,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
38,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/model/_providers/sglang.py,96,CONTRACT,"Capability probe with an explicit recovery path: server_found is set True before the try, cleared on PrerequisiteError, and line 99 immediately reads it (`if not self.server_found:`) to log a warning and start a new server. The flag exists precisely to be consumed, and the fallback is announced.","def __init__(self, model_name",high,unknown,,no,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
39,no-action,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/util/_checkpoint/_layout/sample_checkpoints_dir.py,164,CONTRACT,"_list_checkpoint_ids -> list[int], docstring 'Return every checkpoint id present as ``ckpt-NNNNN.json`` in ``sample_dir``'. `except FileNotFoundError: pass` then `return ids` (empty). A directory that does not exist contains no checkpoints, so the empty list is the answer. The inner ValueError handler at 162 continues past non-conforming filenames for the same reason.",async def _list_checkpoint_ids(sample_dir,high,non-isomorphic,bandit:B110|ruff:S110,no,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
40,silent-suppress,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/util/_sandbox/_json_rpc_transport.py,203,CONTRACT,"_release_chunked_response -> None wraps a cleanup JSON-RPC call in suppress(Exception) with cleanup_args pinning timeout=5 and timeout_retry=False (lines 198-202) - a bounded, explicitly best-effort release of a chunked-response handle.","async def _release_chunked_response(self, handle",high,,,no,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
41,silent-fallback,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/_function_schema.py,274,CONTRACT,"warnings.warn states the fallback in terms ('Could not generate return schema for ...: unsupported return type .... Falling back to unconstrained schema.') before return_schema = {}. The degradation is announced through the stdlib warning channel, which is structurally visible to pytest capture and -W error.",def function_schema(function,low,unknown,,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
42,silent-suppress,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/_sync_stream.py,118,CONTRACT,"_shutdown_loop, docstring 'Tell the owner task to exit the stream context manager, then drive its cleanup to completion.' `with suppress(BaseException): _run_task_to_completion(loop, task)` over already-cancelled pump tasks (cancelled at line 116). BaseException is deliberate: the point is to absorb whatever a cancelled task raises, including CancelledError.",def _shutdown_loop(loop,high,,,no,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
43,silent-suppress,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/_sync_stream.py,143,CONTRACT,"The comment at 141-142 states the contract exactly: 'Garbage-collection cleanup is best effort, but the owner task's exception must still be retrieved so an error from __aexit__ is not reported later as ""Task exception was never retrieved"".' Suppressing around `await owner_task` is the documented idiom for retrieving a task's exception without propagating it.",async def _request_exit(owner_task,high,,,no,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
44,silent-suppress,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/_sync_stream.py,165,CONTRACT,"_finalize_loop, docstring 'Best-effort finalizer for callers that do not close the synchronous wrapper explicitly.' suppress(BaseException) around _shutdown_loop on the path where this thread owns the loop and it is not running; the sibling path at 170 uses the narrower suppress(RuntimeError) around call_soon_threadsafe.",def _finalize_loop(loop,high,,,no,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
45,silent-suppress,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/_sync_stream.py,347,CONTRACT,"discard_pump done-callback with the comment 'A deferred close may finish without the sync iterator being resumed. Retrieve any error here so it cannot be reported later as ""Task exception was never retrieved"".' suppress(BaseException) around task.exception() is exactly that retrieval idiom.",def discard_pump(task,high,,,no,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
46,silent-suppress,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/_sync_stream.py,399,CONTRACT,"stream_sync generator: after cancel_pump(), `with suppress(BaseException): self._run(pump_task)` drives the cancelled pump so the source iterator closes in that same task (comment at 396-397). The genuine error path re-raises at line 395 before this cleanup.","def stream_sync(self, make_aiter",high,,,no,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
47,silent-suppress,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/models/fallback.py,270,CONTRACT,"Four-line comment states the purpose: 'Best-effort cancel the suspended server-side job we're abandoning before rewinding and retrying the chain. FallbackModel swallows the error, so the graph's own cancel path never sees it; without this an OpenAI background job would keep running and billing while the chain issues a duplicate request.' The original exception is preserved in `exceptions` at line 274 and the chain continues.","async def request(self, messages",high,,,no,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
48,silent-suppress,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/models/fallback.py,358,CONTRACT,Streaming twin of :270 with the same comment ('see the non-streaming path above'); the original exception is appended at 362 and the chain falls through.,"@asynccontextmanager
async def request_stream(self, messages",high,,,no,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
49,silent-suppress,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/models/fallback.py,430,CONTRACT,"cancel_suspended_response -> None, docstring states the policy ('... a raising model doesn't stop the rest'): the loop over self.models suppresses per-model so one model that cannot cancel does not prevent the others from being told.","async def cancel_suspended_response(self, response",high,,,no,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
50,silent-fallback,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/realtime/_session.py,2156,CONTRACT,"except (ApprovalRequired, CallDeferred, RunCancelled) are internal control-flow signals, not failures. The handler passes the exception itself into _unsettled_call_return(call_part, e), so the failure travels inside the result object; user_content = None is the paired 'no user content for an unsettled call'. Sibling handlers at 2146 and 2149 do the same for ToolRetryError and ToolFailedError.","async def _execute_tool(self, call_part",high,unknown,,no,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
51,silent-fallback,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/ui/_event_stream.py,293,FALSE_POSITIVE,"🔴 Detector over-call, not a routed failure. transform_stream is an async generator whose except Exception handler performs elaborate, heavily commented error PROPAGATION: it closes the open message part (yielding PartEndEvent so a client that aborts at the error chunk is not left in a streaming state, lines 294-316), closes every pending tool call with an explicit outcome='failed' or 'interrupted' ToolReturnPart (341-357), distinguishes first-party RunCancelled from ordinary errors with a five-line comment on why chain-walking would misread it (331-340), dispatches on_cancel/on_complete callbacks, and finally yields from self.on_error(exc) at 368 - the error reaches the client through the generator protocol. The attribute writes the detector flagged (_open_part = None, _open_part_deltas.clear(), _pending_tool_calls.clear()) are cleanup FOR that propagation. Root cause of the over-call, stated for the paper: the layer-3 answer-target gate treats an attribute write as object state the caller reads later, which is true for an ordinary function and false for a generator that surfaces failure by yielding. Newly visible because the assignments sit inside if-blocks of a 76-line handler.","async def transform_stream(self, stream",high,non-isomorphic,pylint:W0718|ruff:BLE001,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
52,silent-fallback,smolagents,paper/corpus/smolagents-1.26.0/src/smolagents/remote_executors.py,619,CONTRACT,"Docker image probe: `except docker.errors.ImageNotFound` logs 'Image {name} not found, building...' through the executor's own logger and sets build_new_image = True, falling into the documented rebuild branch at line 623. The substituted value is the trigger for the recovery path, not a result handed to a caller.","def __init__(self, additional_imports",low,unknown,,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
53,silent-fallback,trl,paper/corpus/trl-1.12.0/trl/_compat.py,45,CONTRACT,"_is_package_version_below -> bool, docstring 'False if package is not installed or version >= version_threshold'. warnings.warn states the consequence in terms ('Failed to check {package} version against {threshold}: {e}. Compatibility patch may not be applied.') before returning the documented False.",def _is_package_version_below(package_name,medium,non-isomorphic,pylint:W0718|ruff:BLE001,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
54,silent-fallback,trl,paper/corpus/trl-1.12.0/trl/_compat.py,69,CONTRACT,_is_package_version_at_least -> bool: same docstring contract and same warnings.warn text as :45.,def _is_package_version_at_least(package_name,medium,non-isomorphic,pylint:W0718|ruff:BLE001,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
55,silent-fallback,trl,paper/corpus/trl-1.12.0/trl/experimental/async_grpo/openenv_harness.py,225,CONTRACT,"`except TimeoutError` logs a warning that states both the event and the mitigation ('harness agent timed out; training captured turns, timed_out flagged') and sets timed_out = True - an explicit flag that is REPORTED, the opposite of silence. Training proceeds on the turns already captured.","def _run_session(self, prompt, group_id=0)",low,unknown,,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
56,silent-fallback,trl,paper/corpus/trl-1.12.0/trl/experimental/ppo/modeling_value_head.py,360,CONTRACT,"Multi-format checkpoint resolution: on the four HF 'not found' exceptions the handler falls back to the sharded index file, and the nested handler's logging.warning explains the outcome to the user ('no v_head weight is found. This IS expected if you are not resuming PPO training'). The guarded chain returns filename/files_to_download/is_sharded/is_resuming_training, so the fallback is a documented branch of the resolution algorithm.","@classmethod
def _get_checkpoint_from_hub(cls, pretrained_model, pretrained_model_name_or_path, index_filename, token=None, model_name='pytorch_model.bin', model_index_name='pytorch_model.bin.index.json')",medium,unknown,,yes,"V2 supplementary label, 2026-09-05; rationale written from corpus source only, independent of the detector verdict columns"
