repo,pr,state,family,close_reason,note
unionai-oss/pandera,2430,closed-unmerged,no,not-family,crash fix (IndexError)
vibrantlabsai/ragas,2899,closed-unmerged,no,not-family,top_k=0 edge correctness
NVIDIA-NeMo/Guardrails,2271,closed-unmerged,no,not-family,adds intentional fail-closed contract
NVIDIA-NeMo/Guardrails,2324,closed-unmerged,no,not-family,compat probe
NVIDIA-NeMo/Guardrails,2325,closed-unmerged,no,not-family,loud fail-fast
NVIDIA/garak,1936,closed-unmerged,no,not-family,probe content addition
NVIDIA/garak,2027,closed-unmerged,no,not-family,crash->handled (loud before)
NVIDIA/garak,2046,closed-unmerged,no,not-family,warn+skip malformed (loud before)
NVIDIA/garak,2070,closed-unmerged,no,not-family,error message + backoff (surfacing)
Open-Source-Legal/OpenContracts,2165,closed-unmerged,no,not-family,mypy baseline
Open-Source-Legal/OpenContracts,2166,closed-unmerged,no,not-family,test shim removal
PrefectHQ/fastmcp,4876,closed-unmerged,no,not-family,CLI codegen handling
PrefectHQ/fastmcp,4878,closed-unmerged,no,not-family,loud ValueError
TanStack/ai,958,closed-unmerged,no,not-family,TypeScript (language scope)
TanStack/ai,959,closed-unmerged,no,not-family,TypeScript (language scope)
TanStack/ai,960,closed-unmerged,no,not-family,TypeScript (language scope)
UKGovernmentBEIS/inspect_ai,4996,closed-unmerged,no,not-family,adds intentional warning-degradation contract
UKGovernmentBEIS/inspect_evals,2087,closed-unmerged,no,not-family,shared-constant hardening
UKGovernmentBEIS/inspect_evals,2133,closed-unmerged,no,not-family,URL normalization
agno-agi/agno,9710,closed-unmerged,no,not-family,silent noncompliance; no failure event (functional bug)
agno-agi/agno,9711,closed-unmerged,no,not-family,silent noncompliance; no failure event (functional bug)
astral-sh/ruff,26969,closed-unmerged,no,not-family,Rust (language scope)
astral-sh/uv,20529,closed-unmerged,no,not-family,Rust (language scope)
microsoft/agent-governance-toolkit,3738,closed-unmerged,no,not-family,docs
NVIDIA/garak,2071,closed-unmerged,no,not-family,crash (IndexError) -> warned+handled empty output; loud before
bentoml/BentoML,5691,closed-unmerged,no,not-family,loud NotImplementedError raises
confident-ai/deepteam,262,closed-unmerged,yes,self-closed,pre-fix failure during generation was silently ignored when ignore_errors=True (no error recorded on the test case); fix records it. Closed by applicant (superseded)
langwatch/langwatch,7031,closed-unmerged,no,no-error-handling-signal,diff touches no error-handling code
wandb/weave,7677,closed-unmerged,no,no-error-handling-signal,diff touches no error-handling code
wandb/weave,7755,closed-unmerged,no,no-error-handling-signal,diff touches no error-handling code
