sample_index,rule,repo,file,lineno,label,rationale,function_signature
47,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_lfs/_pointer.py,43,CONTRACT,"docstring 明确 ""or None if not a valid LFS pointer""",def parse_lfs_pointer(file_path: Path) -> LFSPointer | None
48,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_util/file.py,290,CONTRACT,"注释 ""treat those as non-writeable""","def is_writeable(self, path: str) -> bool"
49,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_util/local_server.py,441,CONTRACT,get_machine_ip -> str|None,def get_machine_ip() -> str | None
50,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_util/module.py,41,CONTRACT,load_module -> ModuleType|None（可选，但缺失依赖时静默跳过值得加警告）,"def load_module(module_path: Path, filter: Callable[[str], bool] | None=None) -> ModuleType | None"
51,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/_util/platform.py,15,CONTRACT,running_in_notebook 环境探测,def running_in_notebook() -> bool
52,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/inspect_ext.py,777,CONTRACT,"注释 ""fail open — better to skip the barrier than to hang teardown""",async def drain(self) -> None
53,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/app.py,164,CONTRACT,"docstring 明确 ""shouldn't crash if a discovered eval temporarily fails""",async def _enumerate(self) -> list[SessionRow]
54,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/app.py,175,CONTRACT,打印到 stderr 后返回 [],async def _enumerate(self) -> list[SessionRow]
55,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/app.py,273,CONTRACT,"self.notify(severity=""error"") 用户可见","async def _attach_and_show(self, row: SessionRow) -> None"
56,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/picker_screen.py,714,CONTRACT,TUI query_one,def _refresh_status(self) -> None
57,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/session_screen.py,427,CONTRACT,返回类型 Optional,def _approval_card_or_none(self) -> _ApprovalCard | None
58,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/session_screen.py,1224,CONTRACT,"注释 ""Probing the DOM keeps the gate honest""","def _letter_targets_visible_bar(self, letter: str) -> bool"
59,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/widgets/event_chip.py,325,CONTRACT,TUI query_one,def on_click(self) -> None
60,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/widgets/event_chip.py,330,CONTRACT,TUI query_one,def on_click(self) -> None
61,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/widgets/tool_call.py,350,CONTRACT,TUI query_one,"def update_state(self, state: ToolCallState, *, defer_body: bool=False) -> None"
62,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/agent/_acp/tui/widgets/tool_call.py,422,CONTRACT,TUI query_one,def _update_approval_area_if_changed(self) -> None
63,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/log/_recorders/buffer/filestore.py,615,CONTRACT,buffer 清理,async def cleanup_sample_buffer_filestores(log_dir: str) -> None
64,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/log/_recover/_api.py,279,CONTRACT,恢复列表的展示用计数,"async def _recoverable_eval_logs_async(log_dir: str | None=None, _db_dir: str | Path | None=None) -> list[RecoverableEvalLog]"
65,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/log/_recover/_buffer.py,83,CONTRACT,返回类型 Optional,"def _read_db_recovery_data(location: str, db_dir: str | Path | None=None) -> BufferRecoveryData | None"
66,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/model/_model_output.py,162,CONTRACT,warn_once 记录后返回 None,"def collect_stop_details(provider: str, logger: Logger, fn: Callable[[], StopDetails | None]) -> StopDetails | None"
67,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/model/_reasoning.py,193,CONTRACT,解析函数返回 Optional,def _parse_internal_attr(attrs_str: str) -> JsonValue | None
68,silent-fallback,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/tool/_sandbox_tools_utils/validate_distros.py,97,CONTRACT,"打印 ""✗ FAILED"" 后返回 False","def test_distro(distro: str, executable_path: Path) -> bool"
69,silent-fallback,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/_cli/__init__.py,122,CONTRACT,load_agent -> Agent|None,"def load_agent(agent_path: str) -> Agent[Any, Any] | None"
70,silent-fallback,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/_ssrf.py,279,CONTRACT,"🟢 正例：无效 IP 时注释 ""treat as potentially dangerous"" 并 return True —— 安全谓词上的 fail-closed",def is_private_ip(ip_str: str) -> bool
71,silent-fallback,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/_utils.py,871,CONTRACT,get_first_param_type -> Any|None,"def get_first_param_type(callable_obj: Callable[..., Any]) -> Any | None"
72,silent-fallback,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/realtime/_session.py,2336,CONTRACT,🟢 正例：注释说明把异常放入队列让消费者重抛，明确避免静默吞掉,"async def _run_tool(self, call_part: ToolCallPart, *, validation_done: asyncio.Event, execution_prerequisites: tuple[asyncio.Event, ...], completion: asyncio.Event, response_usage_follows: bool, run_s"
73,silent-fallback,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/result.py,466,CONTRACT,anext StopAsyncIteration 终止迭代,"async def _events_iter(self, base_iter: AsyncIterator[ModelResponseStreamEvent]) -> AsyncIterator[AgentStreamEvent]"
74,silent-fallback,smolagents,paper/corpus/smolagents-1.26.0/src/smolagents/local_python_executor.py,1649,CONTRACT,FinalAnswerException 作控制流，返回 e.value,def _execute_code()
75,silent-fallback,trl,paper/corpus/trl-1.12.0/trl/chat_template_utils.py,933,CONTRACT,谓词 -> bool,"def is_chat_template_stop_token_trained(processing_class: PreTrainedTokenizerBase | ProcessorMixin, chat_template: str | None=None) -> bool"
76,silent-fallback,trl,paper/corpus/trl-1.12.0/trl/experimental/openreward/environment.py,287,CONTRACT,畸形 reward → None，下游按 last-non-null 约定处理,"def _call_ors_tool(self, tool_name: str, tool_input: dict[str, Any]) -> str"
77,silent-fallback,uqlm,paper/corpus/uqlm-0.6.5/uqlm/utils/llm_config.py,26,CONTRACT,_is_serializable -> bool,def _is_serializable(value: Any) -> bool
78,silent-suppress,inspect_ai,paper/corpus/inspect_ai-0.3.260/src/inspect_ai/util/_subprocess.py,188,CONTRACT,shielded 清理，长注释说明,"async def run_command() -> Union[ExecResult[str], ExecResult[bytes]]"
79,silent-suppress,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/_sync_stream.py,100,CONTRACT,清理后 raise，注释说明,"def _run_task_to_completion(loop: asyncio.AbstractEventLoop, task: asyncio.Task[None]) -> None"
80,silent-suppress,pydantic_ai_slim,paper/corpus/pydantic_ai_slim-2.36.0/pydantic_ai/models/fallback.py,478,CONTRACT,遥测 span 属性设置,"def _set_span_attributes(self, model: Model, model_request_parameters: ModelRequestParameters) -> None"
